"ID","Deactivate","Character_ID","Action_ID","Call_Script","If_Expression","Target_Character","Target_Scene","Target_ObjGroup","Target_Object","Walk_Scene","Walk_Colour","Hover_Text","Dialogue_Speaker","Dialogue_Emotion","Dialogue_Duration","Dialogue_Line","Set_Column","Set_Tab","Set_Value","Filter_Column","Filter_Value","Remove_Target","Add_To_Inventory","Refresh","Wait_Seconds"
"DEFAULT-forest-02-#0000ff",,"DEFAULT","walk",,,,,,,"forest-02","#0000ff","Go back","DEFAULT",,,,"Scene_ID~,~Screen_X","Characters","forest-01~,~10",,"DEFAULT",,,1,
"DEFAULT-forest-01-#0000ff",,"DEFAULT","walk",,,,,,,"forest-01","#0000ff","Go back","DEFAULT",,,"That's really odd.  We should be back by now.",,,,,"DEFAULT",,,,
"DEFAULT-forest-01-#0000ff",,"DEFAULT","walk",,,,,,,"forest-01","#0000ff","Go back","DEFAULT",,,,"Value","Variables","lost",,"teamState",,,,
"DEFAULT-forest-01-#0000ff",,"DEFAULT","walk",,,,,,,"forest-01","#0000ff","Go back",,,,,"Visible","Characters",1,,"queen",,,1,
"lindsay-talk-lindsay",,"lindsay","talk",,,"lindsay",,,,,,,"lindsay",,,"But what would I say?",,,,,,,,,
"sarah-talk-sarah",,"sarah","talk",,,"sarah",,,,,,,"sarah",,,"Let's not waste time.",,,,,,,,,
"johnny-talk-johnny",,"johnny","talk",,,"johnny",,,,,,,"johnny",,,"I could talk to myself all day -- but would you want to listen?",,,,,,,,,
"lindsay-talk-johnny",,"lindsay","talk",,"teamState == sticks","johnny",,,,,,,"lindsay",,,"Let's get the firewood and get back.",,,,,,,,,
"lindsay-talk-johnny",,"lindsay","talk",,"teamState == sticks","johnny",,,,,,,"lindsay",,,"I want to finish my story.",,,,,,,,,
"lindsay-talk-sarah",,"lindsay","talk",,"teamState == sticks","sarah",,,,,,,"lindsay",,,"Let's get the firewood and get back.",,,,,,,,,
"lindsay-talk-sarah",,"lindsay","talk",,"teamState == sticks","sarah",,,,,,,"lindsay",,,"I want to finish my story.",,,,,,,,,
"johnny-talk-lindsay",,"johnny","talk",,"teamState == sticks","lindsay",,,,,,,"johnny",,,"Let's get the firewood so I can make fun of her story some more.",,,,,,,,,
"johnny-talk-sarah",,"johnny","talk",,"teamState == sticks","sarah",,,,,,,"johnny",,,"Let's get the firewood so we can make fun of Lindsay's story some more.",,,,,,,,,
"sarah-talk-lindsay",,"sarah","talk",,"teamState == sticks","lindsay",,,,,,,"sarah",,,"Let's just get the firewood before it gets too dark.",,,,,,,,,
"sarah-talk-johnny",,"sarah","talk",,"teamState == sticks","johnny",,,,,,,"sarah",,,"Let's just get the firewood before it gets too dark.",,,,,,,,,
"DEFAULT-talk-lindsay",,"DEFAULT","talk","lost","teamState == lost","lindsay",,,,,,,"DEFAULT",,,,,,,,,,,,
"DEFAULT-talk-johnny",,"DEFAULT","talk","lost","teamState == lost","johnny",,,,,,,"DEFAULT",,,,,,,,,,,,
"DEFAULT-talk-sarah",,"DEFAULT","talk","lost","teamState == lost","sarah",,,,,,,"DEFAULT",,,,,,,,,,,,
"lost",,,,,,,,,,,,,"sarah",,,"This is the way we came, right?",,,,,,,,,
"lost",,,,,,,,,,,,,"johnny",,,"Yeah, it is.",,,,,,,,,
"lost",,,,,,,,,,,,,"lindsay",,,"It doesn't make any sense.  We went in a straight line.",,,,,,,,,
"lost",,,,,,,,,,,,,"johnny",,,"We must have gotten turned around.",,,,,,,,,
"lost",,,,,,,,,,,,,"lindsay",,,"I guess so?",,,,,,,,,
"DEFAULT-look-forest-01",,"DEFAULT","look",,,,"forest-01",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-02",,"DEFAULT","look",,,,"forest-02",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-03",,"DEFAULT","look",,"teamState == sticks",,"forest-03",,,,,,"DEFAULT",,,"A bit gloomy, but otherwise nice enough.",,,,,,,,,
"DEFAULT-look-forest-04",,"DEFAULT","look",,"teamState == sticks",,"forest-04",,,,,,"DEFAULT",,,"A bit gloomy, but otherwise nice enough.",,,,,,,,,
"DEFAULT-look-forest-05",,"DEFAULT","look",,"teamState == sticks",,"forest-05",,,,,,"DEFAULT",,,"A bit gloomy, but otherwise nice enough.",,,,,,,,,
"DEFAULT-look-forest-06",,"DEFAULT","look",,"teamState == sticks",,"forest-06",,,,,,"DEFAULT",,,"A bit gloomy, but otherwise nice enough.",,,,,,,,,
"DEFAULT-look-forest-07",,"DEFAULT","look",,"teamState == sticks",,"forest-07",,,,,,"DEFAULT",,,"A bit gloomy, but otherwise nice enough.",,,,,,,,,
"DEFAULT-look-forest-03",,"DEFAULT","look",,"teamState != sticks",,"forest-03",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-04",,"DEFAULT","look",,"teamState != sticks",,"forest-04",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-05",,"DEFAULT","look",,"teamState != sticks",,"forest-05",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-06",,"DEFAULT","look",,"teamState != sticks",,"forest-06",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-look-forest-07",,"DEFAULT","look",,"teamState != sticks",,"forest-07",,,,,,"DEFAULT",,,"It's looking gloomier than it was earlier.",,,,,,,,,
"DEFAULT-use-lindsaystick",,"DEFAULT","use",,,"lindsay",,"stick",,,,,"DEFAULT",,,"Or just let her get the next one.",,,,,,,,,
"DEFAULT-use-johnnystick",,"DEFAULT","use",,,"johnny",,"stick",,,,,"DEFAULT",,,"Or just let him get the next one.",,,,,,,,,
"DEFAULT-use-sarahstick",,"DEFAULT","use",,,"sarah",,"stick",,,,,"DEFAULT",,,"Or just let her get the next one.",,,,,,,,,
"DEFAULT-use-queenstick",,"DEFAULT","use",,"teamState == lost","queen",,"stick",,,,,"DEFAULT",,,"Still doesn't quite reach.  Sorry.",,,,,,,,,
"DEFAULT-use-queenstick",,"DEFAULT","use",,"teamState != lost","queen",,"stick",,,,,"DEFAULT",,,"I don't think that's a good idea.",,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
