ID,Group,Unique,Label,Scene_ID,Visible,Actionable,Image_Path,Image_Filename,Image_Extension,Screen_X,Screen_Y,Base_X,Base_Y,Walk_Point_X,Walk_Point_Y,Zoom,Rotation,Flip_H,Flip_V,Inventory_Path,Inventory_Filename,Inventory_Extension
DEFAULT,,,,,1,1,images/objects/,unknown,.png,50.0%,50.0%,50%,95%,0.0%,0.0%,100%,0,0,0,images/objects/,unknown,_inv.png
"stick-12","stick","12","Stick","forest-07","1","1","images/objects/","stick",".png","65.0%","85.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"hidequeen",,,"Forest","forest-03","1","0","images/objects/","hiding_trees",".png","75.0%","60.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"cwindow",,,"Window","house","1","1","images/objects/","window_to_cabin",".png","27.8%","48.3%","50%","50%","35.0%","240.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"cdoor",,,"Door","house","1","1","images/objects/","door_to_cabin",".png","36.9%","57.1%","50%","50%","0.0%","105.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"painting",,,"Painting","bedroom","1","1","images/objects/","painting",".png","57%","19.1%","50%","50%","-100.0%","200.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"owindow",,,"Window","bedroom","1","1","images/objects/","window_to_outside",".png","7.0%","33.1%","50%","50%","0.0%","110.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
""",,,,,"1","1","images/objects/","unknown",".png","50.0%","50.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
